url,caption
https://www.youtube.com/watch?v=4nchAor-eBU,Old Mother Hubbard (1935)
https://www.youtube.com/watch?v=99mWHEU7Si8,Gabby Fire Cheese 1941 (Classic Cartoon)
https://www.youtube.com/watch?v=yKU00FmwCy0,"mother hens holliday ,,old funny cartoons 1937 disney"
https://www.youtube.com/watch?v=yLveW-S1Y7E,Betty boop wronged him cartoon 1930
https://www.youtube.com/watch?v=uWw9mVtYEEg,Pink panther classic cartoon collection/old funny cartoons
https://www.youtube.com/watch?v=7w3cR-46gm4,The tortoise and the hare_Race-old cartoon
https://www.youtube.com/watch?v=frnE0X8cRF8,Popeye the sailor man/classic cartoon
https://www.youtube.com/watch?v=paLQjp56-fs,Carle chaplain/animated short films1910
https://www.youtube.com/watch?v=nQmk62r9xEo,Old funny cartoon/Best classic cartoon
https://www.youtube.com/watch?v=FUMuQqoxh1o,Fantasmagorie first cartoon ever 1908 | old cartoons
https://www.youtube.com/watch?v=RpLel5wwe-8,bip bip🐸/old cartoon 1990 classic cartoon
https://www.youtube.com/watch?v=jR2RVh3eJfg,pastry town wedding/old funny cartoon 1937
https://www.youtube.com/watch?v=d-CPzgNdMCk,the bad wolf.silly symphony/old cartoons 1950 2020
